"Name","removal_rate","best_dev_f1","learning_rate","number_of_removal_annotations","number_of_removal_surfaceforms","current_iteration","number_of_annotations","Runtime","batch_size","State","Notes","User","Tags","Created","Sweep","dataset","dev_file","dev_instances","dev_num","device","digit2zero","dropout","embedding_dim","embedding_file","hidden_dim","iteration_time","l2","lr_decay","model_folder","momentum","num_epochs","num_outer_iterations","optimizer","project_name","res_folder","seed","sweep_file","sweep_method","tagging_scheme","test_file","test_instances","test_num","train_file","train_instances","train_num","use_char_rnn","variant","dev_f1","dev_precision","dev_recall","epoch","loss","number of instances in dev set","number of instances in test set","number of instances in train set","best_test_f1","test_f1","test_precision","test_recall","entity_name","removal_method"
"driven-sweep-2","0.5","0.6092870544090055","0.001","7043","704","","14227","17600","72","finished","-","possible961","","2022-10-08T11:48:18.000Z","0yfxsfkh","data/Disease/BIOES","dev_BIOES.txt","2754","-1","cuda:0","true","0.5","100","/home/dinglia/embeddings/glove.6B.100d.txt","200","5","1e-8","0","output","0","100","1","sgd","bilstm_partial_crf_new9","results","42","sweep/sweep.json","grid","BIOES","test_BIOES.txt","8738","-1","train_BIOES.txt","16895","-1","1","hard","0.6078762986228557","0.6981132075471698","0.5382969619169876","300","10008.90771484375","2754","8738","16895","0.5975294030623567","0.5975294030623567","0.6708188008636439","0.5386769805281408","Disease","remove_surfaceforms_randomly"
"tough-glade-1069","0.5","0.8131107264503882","0.001","57290","18669","1","114579","39434","72","finished","-","possible961","","2022-10-12T01:25:21.000Z","","data/Chemical/BIOES","dev_BIOES.txt","16201","-1","cuda:0","true","0.5","100","/home/dinglia/embeddings/glove.6B.100d.txt","200","5","1e-8","0","output","0","100","1","sgd","bilstm_partial_crf_new9","results","42","sweep/sweep.json","None","BIOES","test_BIOES.txt","49766","-1","train_BIOES.txt","99037","-1","1","hard","0.8088469379206344","0.8314864787276799","0.7874075685080469","300","71274.701171875","16201","49766","99037","0.814214031566463","0.814214031566463","0.841736932450531","0.7884340159372405","Chemical","remove_annotation_ranomly"
"lyric-sweep-2","0.5","0.5088852988691438","0.001","2643","174","1","5290","19020","72","finished","-","possible961","","2022-10-09T04:56:33.000Z","a5vhdlqj","data/Species/BIOES","dev_BIOES.txt","2555","-1","cuda:0","true","0.5","100","/home/dinglia/embeddings/glove.6B.100d.txt","200","5","1e-8","0","output","0","100","1","sgd","bilstm_partial_crf_new9","results","42","sweep/sweep.json","grid","BIOES","test_BIOES.txt","7431","-1","train_BIOES.txt","15195","-1","1","hard","0.5040128410914928","0.7218390804597701","0.3871763255240444","300","4300.601501464844","2555","7431","15195","0.47273567467652505","0.47273567467652505","0.7118997912317327","0.3538567969560706","Species","remove_surfaceforms_randomly"
"frosty-sweep-2","0.5","0.5373364126250961","0.001","2623","173","3","5290","18906","72","finished","-","possible961","","2022-10-10T02:05:26.000Z","fj0p6mk9","data/Species/BIOES","dev_BIOES.txt","2555","-1","cuda:0","true","0.5","100","/home/dinglia/embeddings/glove.6B.100d.txt","200","5","1e-8","0","output","0","100","1","sgd","bilstm_partial_crf_new9","results","42","sweep/sweep.json","grid","BIOES","test_BIOES.txt","7431","-1","train_BIOES.txt","15195","-1","1","hard","0.5280122793553339","0.6991869918699187","0.4241676942046856","300","4548.991394042969","2555","7431","15195","0.45743498555234496","0.45743498555234496","0.6399253731343284","0.3559322033898305","Species","remove_surfaceforms_randomly"
"youthful-sweep-2","0.5","0.8012618296529969","0.001","2645","965","2","5290","18934","72","finished","-","possible961","","2022-10-09T15:30:50.000Z","bidkkcxp","data/Species/BIOES","dev_BIOES.txt","2555","-1","cuda:0","true","0.5","100","/home/dinglia/embeddings/glove.6B.100d.txt","200","5","1e-8","0","output","0","100","1","sgd","bilstm_partial_crf_new9","results","42","sweep/sweep.json","grid","BIOES","test_BIOES.txt","7431","-1","train_BIOES.txt","15195","-1","1","hard","0.7992518703241894","0.8083228247162674","0.7903822441430333","300","4029.7687072753906","2555","7431","15195","0.7267657992565056","0.7267657992565056","0.7854560064282845","0.6762365963334487","Species","remove_annotation_ranomly"
"peachy-sweep-2","0.5","0.5777777777777777","0.001","1238","366","","2500","13890","72","finished","-","possible961","","2022-10-07T14:10:39.000Z","mtq3yqoo","data/CellLine/BIOES","dev_BIOES.txt","2001","-1","cuda:0","true","0.5","100","/home/dinglia/embeddings/glove.6B.100d.txt","200","5","1e-8","0","output","0","100","1","sgd","bilstm_partial_crf_new9","results","42","sweep/sweep.json","grid","BIOES","test_BIOES.txt","6146","-1","train_BIOES.txt","12592","-1","1","hard","0.5648854961832062","0.5546038543897216","0.5755555555555556","300","2672.2880859375","2001","6146","12592","0.5318444995864351","0.5318444995864351","0.5495726495726496","0.5152243589743589","CellLine","remove_surfaceforms_randomly"
"copper-smoke-1169","0.5","0.8134759896080677","0.001","57290","18697","4","114579","39868","72","finished","-","possible961","","2022-10-13T10:52:20.000Z","","data/Chemical/BIOES","dev_BIOES.txt","16201","-1","cuda:0","true","0.5","100","/home/dinglia/embeddings/glove.6B.100d.txt","200","5","1e-8","0","output","0","100","1","sgd","bilstm_partial_crf_new9","results","42","sweep/sweep.json","None","BIOES","test_BIOES.txt","49766","-1","train_BIOES.txt","99037","-1","1","hard","0.8105996740291125","0.838839129929045","0.7841996520226185","300","91418.59619140624","16201","49766","99037","0.8175586245926629","0.8175586245926629","0.845664325100083","0.791261020902168","Chemical","remove_annotation_ranomly"
"grateful-sweep-2","0.5","0.5890089243776421","0.001","7046","699","","14227","17588","72","finished","-","possible961","","2022-10-07T16:03:06.000Z","amruaxc8","data/Disease/BIOES","dev_BIOES.txt","2754","-1","cuda:0","true","0.5","100","/home/dinglia/embeddings/glove.6B.100d.txt","200","5","1e-8","0","output","0","100","1","sgd","bilstm_partial_crf_new9","results","42","sweep/sweep.json","grid","BIOES","test_BIOES.txt","8738","-1","train_BIOES.txt","16895","-1","1","hard","0.581310123683005","0.6254312469196649","0.5430038510911425","300","9878.119140625","2754","8738","16895","0.5973585184092084","0.5973585184092084","0.6685383980181668","0.5398773006134969","Disease","remove_surfaceforms_randomly"
"radiant-sweep-2","0.5","0.6688311688311688","0.001","1250","793","","2500","12540","72","finished","-","possible961","","2022-10-08T22:25:49.000Z","f97mtyeb","data/CellLine/BIOES","dev_BIOES.txt","2001","-1","cuda:0","true","0.5","100","/home/dinglia/embeddings/glove.6B.100d.txt","200","5","1e-8","0","output","0","100","1","sgd","bilstm_partial_crf_new9","results","42","sweep/sweep.json","grid","BIOES","test_BIOES.txt","6146","-1","train_BIOES.txt","12592","-1","1","hard","0.6542261251372118","0.6464208242950108","0.6622222222222223","300","2337.16796875","2001","6146","12592","0.6069410815173526","0.6069410815173526","0.6113821138211382","0.6025641025641025","CellLine","remove_annotation_ranomly"
"lucky-sweep-2","0.5","0.7873015873015874","0.001","2645","995","4","5290","18927","72","finished","-","possible961","","2022-10-10T12:47:03.000Z","y7m1n9tt","data/Species/BIOES","dev_BIOES.txt","2555","-1","cuda:0","true","0.5","100","/home/dinglia/embeddings/glove.6B.100d.txt","200","5","1e-8","0","output","0","100","1","sgd","bilstm_partial_crf_new9","results","42","sweep/sweep.json","grid","BIOES","test_BIOES.txt","7431","-1","train_BIOES.txt","15195","-1","1","hard","0.7806451612903226","0.8186738836265224","0.7459926017262639","300","4108.946838378906","2555","7431","15195","0.7077321494635591","0.7077321494635591","0.7606361829025845","0.661708751297129","Species","remove_annotation_ranomly"
